topo,n,luts,ffs
CMU,8,3607,912
CMU,16,12236,3040
CMU,32,34831,8512
CMU,64,93881,21888
IC,2,725,171
IC,4,1115,461
IC,8,2665,1261
IC,16,6611,3889
fc_BFT0,2,141,285
fc_BFT0,4,790,882
fc_BFT0,8,2012,2123
fc_BFT0,16,4733,4666
fc_BFT0,32,10394,9903
fc_BFT0,64,22027,20613
fc_BFT3,64,65423,62592
fc_BFT3,32,26109,25440
fc_BFT3,16,10110,9920
fc_BFT3,8,3469,3624
fc_BFT3,4,1122,1176
fc_BFT3,2,144,286
fc_BFT1,64,38657,36592
fc_BFT1,32,15813,16570
fc_BFT1,16,7444,7463
fc_BFT1,8,2874,3027
fc_BFT1,4,1091,1174
fc_BFT1,2,144,286
fc_BFT2,64,48689,47019
fc_BFT2,32,20311,20378
fc_BFT2,16,8615,8692
fc_BFT2,8,3374,3636
fc_BFT2,4,1122,1176
fc_BFT2,2,144,286
ld_TREE,2,73,217
ld_TREE,4,370,595
ld_TREE,8,958,1375
ld_TREE,16,2171,2979
ld_TREE,32,4658,6271
ld_TREE,64,9983,13019
ld_XBAR,2,64,216
ld_XBAR,4,608,742
ld_XBAR,8,2145,2136
ld_XBAR,16,6169,5640
ld_XBAR,32,16341,14144
ld_XBAR,64,40980,34272
ld_MESH0,2,64,216
ld_MESH0,4,618,744
ld_MESH0,8,1638,1832
ld_MESH0,16,4335,4392
ld_MESH0,32,9653,9648
ld_MESH0,64,21504,21104
ld_MESH1,2,64,216
ld_MESH1,4,608,742
ld_MESH1,8,2186,2140
ld_MESH1,16,5216,5016
ld_MESH1,32,12509,11576
ld_MESH1,64,29283,26384
hoplite_1,4,274,653
hoplite_1,16,1131,2563
hoplite_1,25,1781,3908
hoplite_1,36,2559,5619
hoplite_1,64,4543,9972
hoplite_2,16,3689,5236
hoplite_3,16,4890,7430
hoplite_4,16,7009,9930
hoplite_5,16,8920,12313
hoplite_6,16,11065,14620
hoplite_2,36,7143,11920
hoplite_3,36,12003,17612
hoplite_4,36,16305,23163
hoplite_5,36,19665,28877
hoplite_6,36,25408,34089
hoplite_2,64,13195,21668
hoplite_3,64,21221,31310
hoplite_4,64,29129,41340
hoplite_5,64,34947,51235
hoplite_6,64,45287,61026
fc4_BFT3,16,32,4964,5184
fc4_BFT3,16,64,8042,9280
