topo,n,cp
CMU,8,3.136
CMU,16,3.274
CMU,32,3.911
CMU,64,4.135
IC,2,1.4
IC,4,1.4
IC,8,1.606
IC,16,2.256
fc_BFT0,2,.867
fc_BFT0,4,1.215
fc_BFT0,8,1.356
fc_BFT0,16,1.500
fc_BFT0,32,1.853
fc_BFT0,64,2.040
fc_BFT3,64,1.912
fc_BFT3,32,1.794
fc_BFT3,16,1.522
fc_BFT3,8,1.422
fc_BFT3,4,1.4
fc_BFT3,2,1.4
fc_BFT1,64,2.044
fc_BFT1,32,1.609
fc_BFT1,16,1.744
fc_BFT1,8,1.375
fc_BFT1,4,1.290
fc_BFT1,2,.816
fc_BFT2,64,1.868
fc_BFT2,32,1.690
fc_BFT2,16,1.530
fc_BFT2,8,1.301
fc_BFT2,4,1.198
fc_BFT2,2,.816
ld_TREE,2,.864
ld_TREE,4,1.139
ld_TREE,8,1.169
ld_TREE,16,1.355
ld_TREE,32,1.621
ld_TREE,64,1.680
ld_XBAR,2,1.4
ld_XBAR,4,1.587
ld_XBAR,8,1.763
ld_XBAR,16,2.034
ld_XBAR,32,2.203
ld_XBAR,64,2.634
ld_MESH0,2,.798
ld_MESH0,4,1.590
ld_MESH0,8,1.783
ld_MESH0,16,1.896
ld_MESH0,32,2.043
ld_MESH0,64,2.267
ld_MESH1,2,.798
ld_MESH1,4,1.587
ld_MESH1,8,1.685
ld_MESH1,16,1.976
ld_MESH1,32,2.187
ld_MESH1,64,2.525
hoplite_1,4,1.4
hoplite_1,16,2.170
hoplite_1,9,1.75
hoplite_1,25,3.465
hoplite_1,36,2.958
hoplite_1,49,3.1
hoplite_1,64,3.207
hoplite_2,16,2.301
hoplite_3,16,2.349
hoplite_4,16,3.023
hoplite_5,16,3.340
hoplite_6,16,2.816
hoplite_2,36,2.925
hoplite_3,36,2.976
hoplite_4,36,3.589
hoplite_5,36,2.671
hoplite_6,36,3.104
hoplite_2,64,3.241
hoplite_3,64,3.630
hoplite_4,64,3.947
hoplite_5,64,4.302
hoplite_6,64,5.313
fc4_BFT3,16,32,-2.166
fc4_BFT3,16,64,-2.248
