n,topo,dw,sa,dynamic,total
16,fc_BFT0,32,10,0.525,3.102
16,fc_BFT0,32,20,0.713,3.293
16,fc_BFT0,32,30,0.886,3.468
16,fc_BFT0,32,40,1.049,3.634
16,fc_BFT0,32,50,1.204,3.791
16,fc_BFT0,32,60,1.353,3.943
16,fc_BFT0,32,70,1.498,4.090
16,fc_BFT0,32,80,1.639,4.233
16,fc_BFT0,32,90,1.777,4.373
16,fc_BFT0,32,100,1.911,4.510
16,fc_BFT3,32,10,1.124,3.710
16,fc_BFT3,32,20,1.541,4.134
16,fc_BFT3,32,30,1.938,4.538
16,fc_BFT3,32,40,2.311,4.917
16,fc_BFT3,32,50,2.667,5.278
16,fc_BFT3,32,60,2.996,5.613
16,fc_BFT3,32,70,3.327,5.950
16,fc_BFT3,32,80,3.722,6.352
16,fc_BFT3,32,90,4.041,6.676
16,fc_BFT3,32,100,4.353,6.994
16,fc_BFT1,32,10,0.838,3.420
16,fc_BFT1,32,20,1.186,3.773
16,fc_BFT1,32,30,1.464,4.055
16,fc_BFT1,32,40,1.745,4.341
16,fc_BFT1,32,50,2.013,4.614
16,fc_BFT1,32,60,2.272,4.877
16,fc_BFT1,32,70,2.569,5.179
16,fc_BFT1,32,80,2.817,5.431
16,fc_BFT1,32,90,3.059,5.677
16,fc_BFT1,32,100,3.296,5.918
16,fc_BFT2,32,10,0.976,3.560
16,fc_BFT2,32,20,1.364,3.954
16,fc_BFT2,32,30,1.712,4.307
16,fc_BFT2,32,40,2.029,4.630
16,fc_BFT2,32,50,2.339,4.946
16,fc_BFT2,32,60,2.638,5.249
16,fc_BFT2,32,70,2.926,5.542
16,fc_BFT2,32,80,3.207,5.828
16,fc_BFT2,32,90,3.481,6.107
16,fc_BFT2,32,100,3.814,6.445
16,ld_TREE,32,10,0.327,2.901
16,ld_TREE,32,20,0.459,3.034
16,ld_TREE,32,30,0.585,3.162
16,ld_TREE,32,40,0.706,3.285
16,ld_TREE,32,50,0.823,3.404
16,ld_TREE,32,60,0.936,3.519
16,ld_TREE,32,70,1.045,3.630
16,ld_TREE,32,80,1.151,3.738
16,ld_TREE,32,90,1.255,3.843
16,ld_TREE,32,100,1.355,3.945
16,ld_XBAR,32,10,0.733,3.313
16,ld_XBAR,32,20,1.097,3.683
16,ld_XBAR,32,30,1.454,4.045
16,ld_XBAR,32,40,1.805,4.402
16,ld_XBAR,32,50,2.150,4.753
16,ld_XBAR,32,60,2.490,5.099
16,ld_XBAR,32,70,2.825,5.440
16,ld_XBAR,32,80,3.157,5.777
16,ld_XBAR,32,90,3.484,6.110
16,ld_XBAR,32,100,3.808,6.439
16,ld_MESH0,32,10,0.540,3.117
16,ld_MESH0,32,20,0.794,3.375
16,ld_MESH0,32,30,1.044,3.629
16,ld_MESH0,32,40,1.290,3.879
16,ld_MESH0,32,50,1.532,4.125
16,ld_MESH0,32,60,1.771,4.368
16,ld_MESH0,32,70,2.007,4.607
16,ld_MESH0,32,80,2.240,4.845
16,ld_MESH0,32,90,2.471,5.080
16,ld_MESH0,32,100,2.700,5.312
