topo,n,rate,pat,sent,recv,time_taken,injection_rate,sustained_rate,if_worst_latency,queue_cumu_worst_latency,sum_queueing,worst_total_latency,sa,average_latency
ld_XBAR,64,5,local,65536,65536,21788,.050,.046,16,2,5,16,.01309308497414478918,4.34414672851562500000
ld_XBAR,64,8,local,65536,65536,13536,.080,.075,20,2,12,20,.02123388556442080378,4.37130737304687500000
ld_XBAR,64,6,local,65536,65536,18337,.060,.055,16,3,12,16,.01559205204413662722,4.35212707519531250000
ld_XBAR,64,7,local,65536,65536,15909,.070,.064,16,3,17,16,.01800409097575795671,4.35913085937500000000
ld_XBAR,64,4,local,65536,65536,26936,.040,.038,16,1,2,16,.01056642365236115236,4.33610534667968750000
ld_XBAR,64,3,local,65536,65536,35425,.030,.028,16,0,0,16,.00800146289108445071,4.32191467285156250000
ld_XBAR,64,2,local,65536,65536,53643,.020,.019,16,0,0,16,.00527680782363651051,4.31729125976562500000
ld_XBAR,64,1,local,65536,65536,111015,.010,.009,14,0,0,14,.00255950303262321908,4.32980346679687500000
ld_XBAR,64,9,local,65536,65536,12088,.090,.084,20,2,18,20,.02380966230283476726,4.37641906738281250000
ld_XBAR,64,13,local,65536,65536,8281,.130,.123,20,5,93,20,.03519162842651853640,4.42427062988281250000
ld_XBAR,64,15,local,65536,65536,7218,.150,.141,22,6,212,22,.04066602157799944582,4.45402526855468750000
ld_XBAR,64,10,local,65536,65536,10817,.100,.094,20,6,31,20,.02667675880558380327,4.38665771484375000000
ld_XBAR,64,11,local,65536,65536,9839,.110,.104,20,6,52,20,.02942835378764779618,4.39941406250000000000
ld_XBAR,64,12,local,65536,65536,8975,.120,.114,20,5,81,20,.03239090064995357474,4.41447448730468750000
ld_XBAR,64,14,local,65536,65536,7680,.140,.133,22,5,153,22,.03811899820963541666,4.44239807128906250000
ld_XBAR,64,16,local,65536,65536,6771,.160,.151,22,6,233,22,.04348104508196721311,4.46592712402343750000
ld_XBAR,64,17,local,65536,65536,6362,.170,.160,22,9,302,22,.04639833352981242795,4.47749328613281250000
ld_XBAR,64,19,local,65536,65536,5789,.190,.176,22,9,424,22,.05137999690504980710,4.50956726074218750000
ld_XBAR,64,20,local,65536,65536,5522,.200,.185,22,9,504,22,.05408291078111795243,4.52709960937500000000
ld_XBAR,64,21,local,65536,65536,5255,.210,.194,24,6,561,24,.05701192316841103710,4.54096984863281250000
ld_XBAR,64,18,local,65536,65536,6066,.180,.168,22,9,369,22,.04882039750247279920,4.49151611328125000000
