topo,n,rate,pat,sent,recv,time_taken,injection_rate,sustained_rate,if_worst_latency,queue_cumu_worst_latency,sum_queueing,worst_total_latency
fc_BFT0,2,100,add20,2678,2678,1398,1.000,.957,1,0,0,1
fc_BFT0,4,100,add20,2941,2941,818,1.000,.898,6,18,35055,22
fc_BFT0,8,100,add20,3458,3458,587,1.000,.736,26,131,206089,141
fc_BFT0,16,100,add20,4164,4164,691,1.000,.376,66,298,630403,305
fc_BFT0,32,100,add20,4706,4706,736,1.000,.199,217,575,1201325,584
fc_BFT0,2,100,amazon,271188,271188,138425,1.000,.979,1,0,0,1
fc_BFT0,4,100,amazon,280248,280248,73364,1.000,.954,6,195,30294599,198
fc_BFT0,8,100,amazon,291719,291719,39917,1.000,.913,22,595,97049411,600
fc_BFT0,16,100,amazon,302132,302132,22349,1.000,.844,41,1750,271870350,1758
fc_BFT0,32,100,amazon,314306,314306,15484,1.000,.634,83,4269,740625693,4280
fc_BFT0,64,100,add20,5530,5530,847,1.000,.102,353,628,1568256,644
fc_BFT0,2,100,bomhof1,3986,3986,2540,1.000,.784,1,0,0,1
fc_BFT0,4,100,bomhof1,5161,5161,2157,1.000,.598,12,696,1392624,699
fc_BFT0,8,100,bomhof1,8026,8026,4230,1.000,.237,56,3115,10510395,3120
fc_BFT0,16,100,bomhof1,9187,9187,4694,1.000,.122,138,4102,15282288,4111
fc_BFT0,32,100,bomhof1,11637,11637,5640,1.000,.064,253,5261,24118586,5270
fc_BFT0,64,100,amazon,327552,327552,13681,1.000,.374,158,7594,1304125994,7605
fc_BFT0,2,100,bomhof2,5388,5388,2801,1.000,.961,1,0,0,1
fc_BFT0,4,100,bomhof2,6206,6206,1921,1.000,.807,9,150,180472,153
fc_BFT0,8,100,bomhof2,6828,6828,1599,1.000,.533,38,596,805220,601
fc_BFT0,16,100,bomhof2,7454,7454,1558,1.000,.299,102,988,1589690,996
fc_BFT0,32,100,bomhof2,8075,8075,1627,1.000,.155,242,1266,2552974,1278
