topo,n,rate,pat,sent,recv,time_taken,injection_rate,sustained_rate,if_worst_latency,queue_cumu_worst_latency,sum_queueing,worst_total_latency,sa
ld_TREE,2,100,random,2048,2048,1026,1.000,.998,2,0,0,2,.66536712150747238466
ld_TREE,2,100,local,2048,2048,1026,1.000,.998,2,0,0,2,.66536712150747238466
ld_TREE,4,100,local,4096,4096,2474,1.000,.413,408,1447,1986628,1452,.53795023803107877481
ld_TREE,4,100,random,4096,4096,1946,1.000,.526,26,919,1853472,931,.67700125613794678542
ld_TREE,8,100,local,8192,8192,3214,1.000,.318,400,2185,6894262,2195,.56409458618543870566
ld_TREE,8,100,random,8192,8192,3079,1.000,.332,59,2051,8200409,2059,.71785830278847492228
ld_TREE,16,100,local,16384,16384,3919,1.000,.261,370,2889,19151864,2898,.58422500070879759575
ld_XBAR,2,100,local,2048,2048,1026,1.000,.998,2,0,0,2,.49902534113060428849
ld_TREE,16,100,random,16384,16384,5367,1.000,.190,98,4335,34996730,4343,.74744011759103989400
ld_XBAR,4,100,local,4096,4096,2047,1.000,.500,369,1021,1365789,1031,.48751221299462628236
ld_XBAR,8,100,local,8192,8192,2294,1.000,.446,478,1266,4025837,1272,.55634263295553618134
ld_TREE,32,100,local,32768,32768,5504,1.000,.186,484,4470,59794672,4480,.55779374531132783195
ld_XBAR,2,100,random,2048,2048,1026,1.000,.998,2,0,0,2,.49902534113060428849
ld_TREE,32,100,random,32768,32768,10338,1.000,.099,241,9303,149923624,9314,.76758883085058360740
ld_XBAR,4,100,random,4096,4096,1580,1.000,.648,29,553,985761,565,.54442246835443037974
ld_XBAR,16,100,local,16384,16384,2356,1.000,.434,944,1326,9727688,1358,.61035653650254668930
ld_XBAR,8,100,random,8192,8192,1790,1.000,.572,90,760,2954241,778,.65302607076350093109
ld_MESH0,2,100,local,2048,2048,1026,1.000,.998,2,0,0,2,.57031467557783347257
ld_XBAR,16,100,random,16384,16384,2033,1.000,.503,130,1001,7814988,1049,.74481600467289719626
ld_MESH0,4,100,local,4096,4096,2047,1.000,.500,369,1021,1365789,1031,.55715681485100146555
ld_XBAR,32,100,local,32768,32768,2301,1.000,.445,1320,1269,17562228,1665,.64643089960886571056
ld_TREE,64,100,local,65536,65536,7198,1.000,.142,820,6163,153944559,6176,.52867566093462175707
ld_MESH0,8,100,local,8192,8192,2506,1.000,.408,462,1476,4737739,1486,.49506897731159502906
ld_MESH0,16,100,local,16384,16384,2723,1.000,.376,733,1691,11850752,1703,.48783182938985362782
ld_MESH0,2,100,random,2048,2048,1026,1.000,.998,2,0,0,2,.57031467557783347257
ld_MESH0,4,100,random,4096,4096,1580,1.000,.648,29,553,985761,565,.62219710669077757685
ld_TREE,64,100,random,65536,65536,20452,1.000,.050,453,19416,629395140,19429,.78272832917855409543
ld_XBAR,32,100,random,32768,32768,2294,1.000,.446,210,1260,19721092,1319,.80044273103748910200
ld_MESH0,8,100,random,8192,8192,1983,1.000,.516,47,956,3755792,978,.61143529524770069399
ld_MESH1,2,100,local,2048,2048,1026,1.000,.998,2,0,0,2,.57031467557783347257
ld_MESH0,16,100,random,16384,16384,2632,1.000,.389,116,1601,12599269,1611,.59910985670864090316
ld_MESH1,4,100,local,4096,4096,2047,1.000,.500,369,1021,1365789,1031,.55715681485100146555
ld_MESH0,32,100,local,32768,32768,2880,1.000,.355,801,1847,23587997,1857,.42437996031746031745
ld_MESH1,8,100,local,8192,8192,2294,1.000,.446,478,1266,4025837,1272,.63582015194918420724
